Date,Close,Volume,W_Average
1989-08-21,350.519989,829820000,325.5747293
1989-08-28,353.730011,758860000,328.062515
1989-09-04,348.7600098,621230000,330.107591
1989-09-11,345.0599976,827600000,331.791935
1989-09-18,347.0499878,695470000,333.5007944
1989-09-25,349.1499939,757420000,335.216278
1989-10-02,358.7799988,854960000,337.4283855
1989-10-09,333.6499939,809730000,337.877482
1989-10-16,347.1600037,1170210000,339.110106
1989-10-23,335.0599976,875040000,339.4369662
1989-10-30,337.6199951,740910000,339.8425575
1989-11-06,339.1000061,743820000,340.2566225
1989-11-13,341.6099854,738440000,340.7514604
1989-11-20,343.9700012,508090000,341.3297401
1989-11-27,350.6300049,802830000,342.2638696
1989-12-04,348.6900024,757740000,342.9803215
1989-12-11,350.1400146,927700000,343.7153763
1989-12-18,347.4200134,843460000,344.2127965
1989-12-25,353.3999939,485320000,345.0404735
1990-01-01,352.2000122,689930000,345.7307754
1990-01-08,339.9299927,809580000,345.5746028
1990-01-15,339.1499939,861310000,345.3281508
1990-01-22,325.7999878,905970000,344.1964296
1990-01-29,330.9200134,845440000,343.3782154
1990-02-05,333.6199951,774880000,342.7212689
1990-02-12,332.7200012,742870000,342.0024303
1990-02-19,324.1499939,639350000,340.7375267
1990-02-26,335.5400085,808150000,340.2461724
1990-03-05,337.9299927,768640000,339.9270322
1990-03-12,341.9100037,772220000,339.879312
1990-03-19,337.2200012,758610000,339.5378713
1990-03-26,339.9400024,661550000,339.4005166
1990-04-02,340.0799866,719860000,339.301849
1990-04-09,344.3399963,534540000,339.4966876
1990-04-16,335.1199951,745120000,339.0982357
1990-04-23,329.1099854,678950000,338.3376972
1990-04-30,338.3900146,699490000,338.218967
1990-05-07,352,821710000,339.0221498
1990-05-14,354.6400146,878240000,339.9561938
1990-05-21,354.5799866,817350000,340.8702789
1990-05-28,363.1600037,690500000,342.2959351
1990-06-04,358.7099915,842230000,343.3795689
1990-06-11,362.9100037,776460000,344.6919993
1990-06-18,355.4299927,716960000,345.4760418
1990-06-25,358.019989,702770000,346.4025357
1990-07-02,358.4200134,500300000,347.3389452
1990-07-09,367.3099976,858020000,348.8279773
1990-07-16,361.6099854,834780000,349.912342
1990-07-23,353.4400024,858590000,350.439095
1990-07-30,344.8599854,1049080000,350.4122124
