Date,Growth,Close,Volume,W_Average
1951-08-03,1,22.85000038,1570000,21.66317958
1951-08-06,1,23.01000023,1600000,21.68074675
1951-08-07,1,23.03000069,1810000,21.6983577
1951-08-08,0,22.93000031,1410000,21.71482337
1951-08-09,0,22.84000015,1500000,21.73024875
1951-08-10,0,22.79000092,1260000,21.74503333
1951-08-13,1,22.79999924,1320000,21.75977661
1951-08-14,0,22.70000076,1180000,21.77338955
1951-08-15,1,22.79000092,1340000,21.78776618
1951-08-16,1,22.87000084,1750000,21.80278061
1951-08-17,1,22.94000053,1620000,21.81833733
1951-08-20,0,22.93000031,1130000,21.83362888
1951-08-21,0,22.82999992,1400000,21.84775624
1951-08-22,0,22.75,1130000,21.8609249
1951-08-23,1,22.89999962,1230000,21.87543584
1951-08-24,0,22.87999916,1210000,21.88959603
1951-08-27,0,22.85000038,1080000,21.9032826
1951-08-28,1,22.89999962,1280000,21.91730299
1951-08-29,1,23.07999992,1520000,21.93295971
1951-08-30,1,23.23999977,1950000,21.95005224
1951-08-31,1,23.28000069,1530000,21.9673821
1951-09-04,0,23.28000069,1520000,21.98454181
1951-09-05,1,23.42000008,1850000,22.00292241
1951-09-06,1,23.46999931,2150000,22.02161643
1951-09-07,1,23.53000069,1970000,22.04072788
1951-09-10,1,23.62000084,2190000,22.06055575
1951-09-11,0,23.5,2040000,22.07900351
1951-09-12,1,23.60000038,2180000,22.09828013
1951-09-13,1,23.70999908,2350000,22.11848808
1951-09-14,0,23.69000053,2170000,22.13832142
1951-09-17,0,23.62000084,1800000,22.15725277
1951-09-18,0,23.59000015,2030000,22.17567416
1951-09-19,0,23.59000015,2070000,22.19389257
1951-09-20,0,23.56999969,2100000,22.21171645
1951-09-21,0,23.39999962,2180000,22.22762142
1951-09-24,0,23.29999924,1630000,22.24232788
1951-09-25,1,23.37999916,1740000,22.25763882
1951-09-26,1,23.39999962,1520000,22.27295075
1951-09-27,0,23.27000046,1540000,22.28677016
1951-09-28,0,23.26000023,1390000,22.30031345
1951-10-01,1,23.46999931,1330000,22.31576817
1951-10-02,1,23.63999939,1870000,22.33272537
1951-10-03,1,23.79000092,2780000,22.35096568
1951-10-04,0,23.71999931,1810000,22.36828756
1951-10-05,1,23.78000069,2080000,22.38601394
